書名,頁,目次（NDL公開目次を整理したものです、頁はPDF物理頁、コメントなどはfukkoku@est.co.jpまで）
bit 1973年10月号,12,プログラミング言語㉒ COBOL(1)――COBOLの導入書となるよう基礎事項から応用技術までを，例をまじえて解説する
bit 1973年10月号,17,超大型コンピュータの技術(1)――仮想記憶のカラクリ……石田晴久
bit 1973年10月号,24,コンピュータ・システムの評価(1)……山本欣子
bit 1973年10月号,32,理論プログラミングの主題と他の数学諸分野との関連 MTCシンポジウムの講演より……A.Ershov，筧捷彦
bit 1973年10月号,39,計算機莫迦話⑫ マニュアルさまさま……N.H.K.
bit 1973年10月号,45,神経細胞活動のマルコフ性……中浜博，山本光璋，石井直宏，佐藤孝行
bit 1973年10月号,54,ナノピコ教室……清水留三郎
bit 1973年10月号,55,情報・システム・行動⑩ 情報と社会――社会の情報システム論的構造をさぐる……村田晴夫
bit 1973年10月号,60,麦藁帽子……佐藤愛子
bit 1973年10月号,65,謙虚なプログラマ 1972年度ACM制定Turing賞記念講演……E.W.ダイクストラ，木村泉
bit 1973年10月号,77,ナノピコ教室解答(7月号)……細井勉
bit 1973年10月号,80,アレフ・ゼロ
bit 1973年10月号,83,有限要素法のお話⑧ 混合形の有限要素法――板やシェルの問題における混合法の収束性や精度を検討する……三好哲彦，藤井宏
bit 1973年10月号,89,bit Hoyle トランプの一人游び……藤崎哲之助
bit 1973年10月号,92,読者の広場 ある退職プ ログラマ の感慨，電子計算機についての素朴な質問
bit 1973年10月号,96,ぶっくす
bit 1973年11月号,1,表紙
bit 1973年11月号,3,NELSON――朝日新聞社
bit 1973年11月号,9,目次
bit 1973年11月号,11,1ビットを大切に……牧之内三郎
bit 1973年11月号,12,プログラミング㉓ COBOL(2)――データ部と手続き部の基本的な書き方を学ぼう……水野幸男，伊藤靖彦
bit 1973年11月号,18,超大型コンピュータの技術(2)――仮想記憶の内部構造……石田晴久
bit 1973年11月号,24,カミカゼ・電算機・エンタープライズ……小山内宏
bit 1973年11月号,25,有限要素法のお話⑨ ラプラス方程式，熱方程式対する有限要素近似の最大値原理――有限要素法の最大値原理の成り立つ条件。とくに，単体分割の影響を調べる……藤井宏，三好哲彦
bit 1973年11月号,34,化合物名と化学構造情報のコンピュータ処理……岩村秀
bit 1973年11月号,38,情報・システム・行動⑪ 社会の情報システム論的構造――システム論と情報論の立場から社会の構造を分析する……村田晴夫
bit 1973年11月号,42,ナノピコ教室……有沢誠
bit 1973年11月号,45,都市開発モデル……伊阪哲雄，中林三平
bit 1973年11月号,56,コンピュータ・システムの評価(2)……山本欣子
bit 1973年11月号,67,ナノピコ教室解答(8月号)……木村泉
bit 1973年11月号,76,アレフ・ゼロ
bit 1973年11月号,79,計算機莫迦話⑬ 蟲めづる……N.H.K
bit 1973年11月号,90,新聞製作の革新――朝日新聞社のNELSON……藤田昌侾
bit 1973年11月号,95,素朴な質問へのお答え――ある専門家より……国府田知
bit 1973年11月号,96,ぶっくす
bit 1973年12月号,1,表紙
bit 1973年12月号,3,スタンフォード大学 組合せ数学グループを中心に
bit 1973年12月号,9,目次
bit 1973年12月号,11,電子計算機と共に……武藤清
bit 1973年12月号,12,プログラミング言語㉔ COBOL(3)――COBOLにおいて特徴的である分類機能などについて考えてみる……水野幸男，伊藤靖彦
bit 1973年12月号,17,ミニ・オペレーティング・システム……小林光夫，小島克己
bit 1973年12月号,26,こわい顔おかしな顔……根本進
bit 1973年12月号,29,ナノピコ教室
bit 1973年12月号,30,計算機莫迦話⑭ コンピュータと恋と夢……N.H.K.
bit 1973年12月号,36,情報システムの機密保護(1)……吉村鐵太郎
bit 1973年12月号,42,有限要素法のお話⑩ 固有値問題と有限要素法――固有値問題における基本的な問題点を検討してみよう……三好哲彦，藤川宏
bit 1973年12月号,49,超大型コンピュータの技術(3)――仮想記憶とプログラミング……石田晴久
bit 1973年12月号,55,連珠と多相問題……小川均
bit 1973年12月号,62,ナノピコ教室解答(9月号)……野崎昭弘
bit 1973年12月号,67,情報・システム・行動(完) 調和の方向――情報とシステムにおける調和論の提起……村田晴夫
bit 1973年12月号,74,カレンダーのアルゴリズム……高澤嘉光
bit 1973年12月号,76,スタンフォード大学の組合せ数学……有澤誠
bit 1973年12月号,80,アレフ・ゼロ
bit 1973年12月号,81,テクノロジー・トランスファー・モデル……小玉陽一
bit 1973年12月号,96,ぶっくす
bit 1974年01月号,1,表紙
bit 1974年01月号,5,目次
bit 1974年01月号,7,年頭所感……尾見半左右
bit 1974年01月号,9,LISP入門① マッカーシーの条件式とM式――一風変わった言語であるLispとはどんな言語なのであろうか?……後藤英一
bit 1974年01月号,16,日本語を考える1 自然言語の形式理論……水谷静夫
bit 1974年01月号,23,超大型コンピュータの技術(4) 情報の機密保護技術……石田晴久
bit 1974年01月号,29,ナノピコ教室……土居範久
bit 1974年01月号,30,ナノピコ教室解答(10月号)……清水留三郎
bit 1974年01月号,34,計算機莫迦話⑮ アセンブラ始末記……N.H.K.
bit 1974年01月号,41,IBMの研究開発 人間の頭脳がよりよいコンピュータを生みだす……Nancy Foy，Nicholas Valéry，赤木昭夫
bit 1974年01月号,48,プログラミング言語㉕ COBOL(4) 表の取り扱いおよび報告書の作成はどのようにしたらよいか?……水野幸男，伊藤靖彦
bit 1974年01月号,54,私の年齢……与謝野道子
bit 1974年01月号,55,マルティクス近況 プロジェクトMACに参加して……小田一博
bit 1974年01月号,61,有限要素法のお話⑪ 1973東京セミナーを中心とした最近の話題――有限要素法に関する日本で開かれた国際会議の論文の紹介……藤井宏，三好哲彦
bit 1974年01月号,67,情報システムの機密保護(2)……吉村鉄太郎
bit 1974年01月号,75,チューリングとディジタル計算機の起源……Brian Randell，高浜忠彦
bit 1974年01月号,88,アレフ・ゼロ
bit 1974年01月号,89,読者の広場 迷路さがし
bit 1974年01月号,92,ぶっくす
bit 1974年02月号,1,表紙
bit 1974年02月号,5,目次
bit 1974年02月号,7,情報時代への教育……岡本舜三
bit 1974年02月号,8,マイクロプログラミング① ハードなソフトウェア――真に効率のよいシステムをつくるためのマイクロプログラミングとは……宇都宮公訓
bit 1974年02月号,16,豫定表……串田孫一
bit 1974年02月号,17,超大型コンピュータの技術(5) 多重プロセッシング……石田晴久
bit 1974年02月号,23,LISP入門② 関数の帰納的定義――LISPにおける帰納的関数の定義について，例を通して考えてみる……後藤英一
bit 1974年02月号,32,ナノピコ教室……駒木悠二
bit 1974年02月号,33,日本語を考える2 文法・意味・イメージ……水谷静夫
bit 1974年02月号,41,コンピュータを用いた対話設計……村井俊治，大林成行
bit 1974年02月号,53,有限要素法のお話(完) 有限要素法と数値解析あれこれ――有限要素法の基礎理論の分野でのもろもろの話題を雑談ふうに……藤井宏，三好哲彦
bit 1974年02月号,60,ナノピコ教室解答(11月号)……有澤誠
bit 1974年02月号,65,計算機莫迦話⑯ 紙様コンピュータ様……N.H.K.
bit 1974年02月号,72,アレフ・ゼロ
bit 1974年02月号,75,プログラミング言語(完) COBOL(5)――COBOL語の歴史を述べるとともに，今後の動向を探ってみよう……水野幸男，伊藤靖彦
bit 1974年02月号,80,コンピュータ・コミュニケーションアロハ・システ(1)……関口義一，市川新
bit 1974年02月号,84,ぶっくす
bit 1974年03月号,1,表紙
bit 1974年03月号,5,目次
bit 1974年03月号,7,情報も節約時代……高田勝
bit 1974年03月号,8,LISP入門③ 帰納的定義のFORTRAN処理――プリプロセッサ，FORTRAN*――FORTRANをあたかも帰納的定義に使えるかのよう拡張した言語F*とは……後藤英一
bit 1974年03月号,19,超大型コンピュータの技術(6) FORTRANの拡張機能……石田晴久
bit 1974年03月号,25,マイクロプログラミング② IBMシステム360/モデル20のマイクロプログラム(1)――マイクロプログラム計算機の実例としてIBMシステム360/モデル20を見てみると……宇都宮公訓
bit 1974年03月号,37,声のカプセル……立川清登
bit 1974年03月号,38,ナノピコ教室……十代田三知男
bit 1974年03月号,41,ミニコンによる大きなBASIC……高澤嘉光
bit 1974年03月号,51,数値計算のフィロソフィー① アルゴリズム――パスカルの話から始め，アルゴリズムとは何かを考えてみる……戸川隼人
bit 1974年03月号,59,コンピュータ・コミュニケーションアロハ・システム(2)……関口義一，市川新
bit 1974年03月号,67,計算機莫迦話⑰ 風が吹くと……N.H.K
bit 1974年03月号,77,日本語を考える3 文である要件……水谷静夫
bit 1974年03月号,83,アレフ・ゼロ
bit 1974年03月号,84,ナノピコ教室解答(12月号)……石田晴久
bit 1974年03月号,90,ぶっくす
bit 1974年04月号,1,表紙
bit 1974年04月号,5,目次
bit 1974年04月号,7,定年計算機……門倉敏夫
bit 1974年04月号,8,LISP入門④ Lispのデータ言語S式――Lispの演算の対象であるS式とよばれる記号列について述べる……後藤英一
bit 1974年04月号,16,超大型コンピュータの技術(完) オープン・バッチ処理方式……石田晴久
bit 1974年04月号,22,心の中……やなせ・たかし
bit 1974年04月号,23,ナノピコ教室……中西正和
bit 1974年04月号,24,数値計算のフィロソフィー② 多倍長計算と多項式の計算――前回の話を応用して，多倍長計算などについて考えてみる……戸川隼人
bit 1974年04月号,31,マクロ経済モデルによる予測 KORFモデルⅠ……浜田文雅
bit 1974年04月号,41,マイクロプログラミング③ IBMシステム360/モデル20のマイクロプログラム(2)――360/20の命令実行ルーチンとROS周辺回路を解説する……宇都宮公訓
bit 1974年04月号,51,日本語を考える4 ボス陳述?悪女PSG?……水谷静夫
bit 1974年04月号,59,計算機莫迦話 プログテム言語さまざま……N.H.K.
bit 1974年04月号,63,アレフ・ゼロ
bit 1974年04月号,64,ナノピコ教室解答(1月号)……土居範久
bit 1974年04月号,68,Anti-Computer論　情報処理学会第14回大会パネル討論会より……三浦大亮
bit 1974年04月号,75,コンピュータ・コミュニケーション アロハ・システム(3)……関口義一，市川新
bit 1974年04月号,84,ぶっくす
bit 1974年05月号,1,表紙
bit 1974年05月号,5,目次
bit 1974年05月号,7,石油危機に想う……大島康次郎
bit 1974年05月号,8,LISP入門⑤ MS変換，LISPの万能関数――MS変換，万能関数と通訳プログラムの関係を調べてみよう……後藤英一
bit 1974年05月号,15,日本語を考える5 江戸の学説を見直そう……水谷静夫
bit 1974年05月号,25,コンピュータ・コミュニケーション アロハ・システム(完)……関口義一，市川新
bit 1974年05月号,37,ナノピコ教室……細井勉
bit 1974年05月号,38,思いやりのあるコンピューター……入江徳郎
bit 1974年05月号,41,マイクロプログラミング④ マイクロプログラムの記憶と書き換え――書き込み可能な制御記憶でユーザ・マイクロプログラミングが身近なものに……宇都宮公訓
bit 1974年05月号,51,カラーグラフィック・ディスプレイによるインタラクティプ・ファッション・デザイン・システム……有澤博
bit 1974年05月号,59,計算機莫迦話 選挙前夜……N.H.K.
bit 1974年05月号,64,ナノピコ教室解答(2月号)
bit 1974年05月号,68,数値計算のフィロソフィー③ マトリクス――この前モデルにした列車が何本も並んで走る場合はどうなるでろうか……戸川隼人
bit 1974年05月号,79,プログラムのお遊び 弱くなるプログラム……KING
bit 1974年05月号,82,アレフ・ゼロ
bit 1974年05月号,83,JIS FORTRANとALGOLの改正について……菅忠義
bit 1974年05月号,88,ぶっくす
bit 1974年06月号,1,表紙
bit 1974年06月号,5,目次
bit 1974年06月号,7,パターンと構造化情報……榎本肇
bit 1974年06月号,8,LISP入門⑥ Lispの標準関数――HLISPとよぶ新版のLispとはどんなものだろうか……後藤英一
bit 1974年06月号,14,日本語を考える 6 再び文法と意味……水谷静夫
bit 1974年06月号,21,数値計算のフィロソフィー④ 方程式――方程式とは何であろうか?方程式の意味を考えてみる……戸川隼人
bit 1974年06月号,28,ナノピコ教室……佐藤創
bit 1974年06月号,29,ミニコン用オペレーティング・システム……新谷隆之，人見勝人
bit 1974年06月号,38,無縁の世界……江崎誠致
bit 1974年06月号,41,マイクロプログラミング⑤ エミュレーション――新機種導入に伴うプログラム変化のためのエミュレーションを調べよう……宇都宮公訓
bit 1974年06月号,47,NLP/6000システムの開発(1) NLPシステム開発の動機とSUMT法について……小野勝章，半沢久生，山下浩
bit 1974年06月号,52,ナノピコ教室解答(3月号)
bit 1974年06月号,56,計算機莫迦話 (続)選挙前夜……N.H.K.
bit 1974年06月号,62,コンピュータ・コミュニケーション 続アロハ・システム……市川新，関口義一
bit 1974年06月号,64,アレフ・ゼロ
bit 1974年06月号,65,兵庫ダイナミックス……兵庫ダイナミックス研究チーム
bit 1974年06月号,75,データベース　Dr.Olleを囲んで……植村俊亮，小林功武，西村恕彦，穂鷹良介，吉村鐵太郎
bit 1974年06月号,88,ぶっくす
bit 1974年07月号,1,表紙
bit 1974年07月号,5,目次
bit 1974年07月号,7,過去・現在・未来のひとつの見方……堀川明
bit 1974年07月号,8,連載 LIS入門⑦ 連想リストと属性リスト――連想リストと属性リストについて述べ。Lisp 1.5の通訳プログラムを考える……後藤英一
bit 1974年07月号,15,組合せ的ファイリングシステム(1) 組合せ数学と情報検索……高橋磐郎
bit 1974年07月号,22,消費者のタシナミ……大和勇三
bit 1974年07月号,23,数値計算のフィロソフィー⑤ 方程式の近似解法――「考え方」をまず勉強し，方程式の根を求めてみる……戸川隼人
bit 1974年07月号,30,ナノピコ教室……金山裕
bit 1974年07月号,31,ナノピコ教室解答(4月号)……中西正和
bit 1974年07月号,35,NLP/6000システムの開発(2) その他のアルゴリズムのパッケージ化について……小野勝章，半沢久生，山下浩
bit 1974年07月号,43,マイクロプログラミング⑥ マイクロ診断――マイクロプログラム計算機独特の故障診断技術であるマイクロ診断を話す……宇都宮公訓
bit 1974年07月号,48,日本語を考える7「結婚する」「結婚した。」「結婚」……水谷静夫
bit 1974年07月号,55,連続・離散・共存系向きシミュレーショ言語GASPIV……大熊龍太
bit 1974年07月号,65,計算機莫迦話 寿限無!……N.H.K.
bit 1974年07月号,73,韓国印象記 対韓経済協力調査団に参加して……小玉陽一
bit 1974年07月号,79,LISPプログラムの編集に有効なLISP EDITORの原理……長谷川洋
bit 1974年07月号,87,アレフ・ゼロ
bit 1974年07月号,88,ぶっくす
bit 1974年08月号,1,表紙
bit 1974年08月号,5,目次
bit 1974年08月号,7,未来予測……赤攝也
bit 1974年08月号,8,LISP入門⑧関数引数の処理，基本集合演算の高速化――大変便利な機構である関数引数などについて説明する……後藤英一
bit 1974年08月号,15,組合せ的ファイリングシステム(2) 組合せ数学と情報検索……藤原りょう，よねだきよし
bit 1974年08月号,23,ミニ言語のミニ・コンパイラ① ミニ言語PLAN――ミニコン用のミニ言語のミニ・コンパイラを作ろう……武市正人
bit 1974年08月号,30,人間ぎらい……北條誠
bit 1974年08月号,31,ファームウェアとプログラミング……萩原宏
bit 1974年08月号,37,日本語を考える8 意味記述の為に……水谷静夫
bit 1974年08月号,43,数値計算のフィロソフィー⑥ 反復法――1次式で作られる数列の極限を考えたのち，線型反復法を勉強しよう……戸川隼人
bit 1974年08月号,50,計算機莫迦活 計算機さまさま……N.H.K
bit 1974年08月号,57,マイクロプログラミング⑦――仮想記憶システム――システム/370の仮想記憶システムと動的アドレス変換機構を解説する……宇都宮公訓
bit 1974年08月号,67,NLP/6000システムの開発(3) NLPのアルゴリズムの基本的理解のために……小野勝章，半沢久生，山下浩
bit 1974年08月号,72,ナノピコ教室……野崎昭弘
bit 1974年08月号,75,ナノピコ教室解答(5月号)……細井勉
bit 1974年08月号,78,アレフ・ゼロ
bit 1974年08月号,79,プログラミング合戦……KING
bit 1974年08月号,84,ぶっくす
bit 1974年09月号,1,表紙
bit 1974年09月号,5,目次
bit 1974年09月号,7,ソフトウェアの信頼性……三根久
bit 1974年09月号,8,LISP入門⑨ HLISP――単写機能を説明し，基本集合演算の高速化について考えてみる……後藤英一
bit 1974年09月号,16,組合せ的ファイリングシステム(3) 組合せ数学と情報検索……藤原りょう，よねだきよし
bit 1974年09月号,22,コンピュータが欲しい……穂積驚
bit 1974年09月号,23,NLP/6000システムの開発(4) 各アルゴリズムは具体的問題をどのように解いたか……小野勝章，半沢久生，山下浩
bit 1974年09月号,28,ナノピコ教室
bit 1974年09月号,30,マイクロプログラミング⑧ 高級言語計算機(1)――FORTRANプログラムを直接解釈実行する計算機の仕組みなどを解説する……宇都宮公訓
bit 1974年09月号,41,ナノピコ教室解答(6月号)……佐藤創
bit 1974年09月号,47,ミニ言語のミニ・コンパイラ② 構文解析――コンパイラの行なう仕事は?そして，構文解析の方法は?……武市正人
bit 1974年09月号,52,計算機莫迦話 構造的プログラミング!!??……N.H.K.
bit 1974年09月号,61,日本語を考える完 トンデモナイ事はトンダ事……水谷静夫
bit 1974年09月号,68,数値計算のフィロソフィー⑦ 近似式――近似式について考えてみるとともに，数学書の面白い読み方は…………戸川隼人
bit 1974年09月号,76,アレフ・ゼロ
bit 1974年09月号,79,ミニコンによる教育用TSS……斉藤栴朗，岩倉博
bit 1974年09月号,88,ぶっくす
bit 1974年10月号,1,表紙
bit 1974年10月号,5,目次
bit 1974年10月号,7,客観から主観へ……平山博
bit 1974年10月号,8,LISP入門⑩ 連想計算機能とHLISP――例をあげて連想計算機能などについて考えてみる……後藤英一
bit 1974年10月号,16,組合せ的ファイリングシステム(4) 組合せ数字と情報検索……藤原りょう，よねだきよし
bit 1974年10月号,22,白禍論……三浦朱門
bit 1974年10月号,23,ミニ言語のミニ・コンパイラ③ 記号の処理・宣言と定義の処理――記号の処理はどのようにすべきか?また宣言と定義の処理は?……武市正人
bit 1974年10月号,30,グラフィックスのためのデザイン(1) グラフィックスのための現状と認識……中原陽一，野本雄一
bit 1974年10月号,37,マイクロプログラミング⑨ 高級言語計算機(2)――高級言語計算機の例として，EULER計算機とSYMBOL計算機を紹介する……宇都宮公訓
bit 1974年10月号,44,ナノピコ教室……駒木悠二
bit 1974年10月号,45,ナノピコ教室解答(7月号)……金山裕
bit 1974年10月号,49,NLP/6000システムの開発(完) その使い方と利用分野について……小野勝章，半沢久生，山下浩
bit 1974年10月号,57,数値計算のフィロソフィー⑧ 微分，積分――コンピュータの内部での関数の微分と積分の処理の仕方は…………戸川隼人
bit 1974年10月号,63,JUMBOモデルについて(1)……小玉陽一
bit 1974年10月号,72,アレフ・ゼロ
bit 1974年10月号,73,計算機莫迦話 計算機科学万歳……N.H.K.
bit 1974年10月号,86,ぶっくす
bit 1974年11月号,1,表紙
bit 1974年11月号,5,目次
bit 1974年11月号,7,システム工学から見たコンピュータの利用……奥野治雄
bit 1974年11月号,8,LISP入門⑪ ガーベッジ・コレクタ廃品回収――廃品回収ルーチンとよばれるシステムの構成部分について述べる……後藤英一
bit 1974年11月号,16,擬似ランダム系列(1)……中村勝洋，佐藤創
bit 1974年11月号,25,TOWER OF HANOI……KING
bit 1974年11月号,30,マイクロプログラミング⑩ オペレーティング・システム――オーエスから話題をいくつか選びマイクロプログラムとの関係を解説する……宇都宮公訓
bit 1974年11月号,43,グラフィックスのためのデザイン(2) プログラム・デザインのための基礎知識1……中原陽一，鈴木勝
bit 1974年11月号,49,ミニ言語のミニ・コンパイラ④ 目的プログラム――仮想の計算機を例にとり，目的プログラムについて考えてみる……武市正人
bit 1974年11月号,54,ナノピコ教室……中西正和
bit 1974年11月号,55,ナノピコ教室解答(8月号)
bit 1974年11月号,58,ミスターコンピューターと無駄の効用……吉武輝子
bit 1974年11月号,61,数値計算のフィロソフィー⑨ 微分方程式――ロケットを例にとり図式計算の原理などについて解説してみる……戸川隼人
bit 1974年11月号,67,計算機莫迦話 収容所へ放り込め……N.H.K.
bit 1974年11月号,76,アレフ・ゼロ
bit 1974年11月号,81,JUMBOモデルについて(2)……小玉陽一
bit 1974年11月号,90,ぶっくす
bit 1974年12月号,1,表紙
bit 1974年12月号,5,目次
bit 1974年12月号,7,光と情報……吉原邦夫
bit 1974年12月号,8,LISP入門⑫ 仮想記憶と連想的処理の効用――仮想記憶について述べるとともに，連想計算機能の効果はいかに……後藤英一
bit 1974年12月号,15,大気汚染解析モデルの開発(1) 現実はいかにモデル化されるか……大瀬貴宏，常岡正義，田尾陽一，山下浩
bit 1974年12月号,23,数値計算のフィロソフィー⑩ 放物型の世界――バケツ，ゴキブリなどを例にとり放物型について考えてみよう……戸川隼人
bit 1974年12月号,29,航海士としてのプログラマ 1973年度ACMチューリング賞受賞講演……チャールズW.バックマン，星守，西村恕彦
bit 1974年12月号,38,シンゾウ ヲ ヤラレタ!……森吉正照
bit 1974年12月号,43,ミニ言語のミニ・コンパイラ(完) 目的プログラムの生成――最終回として目的プログラムを生成プログラムを作ってみよう……武市正人
bit 1974年12月号,50,擬似ランダム系列(2)……中村勝洋，佐藤創
bit 1974年12月号,59,グラフィックスのためのデザイン(3) プログラム・デザインのための基礎知識 2……中原陽一，鈴木勝，伊藤健一
bit 1974年12月号,66,マイクロプログラミング⑪ 数値計算――数値計算とそのファームウェア化についてのいくつかの例を紹介する……宇都宮公訓
bit 1974年12月号,74,アレフ・ゼロ
bit 1974年12月号,77,ナノピコ教室……牛島和夫
bit 1974年12月号,78,計算機莫迦話 必翻所版究印有権……N.H.K.
bit 1974年12月号,84,ナノピコ教室解答(9月号)……有澤誠
bit 1974年12月号,88,ぶっくす
bit 1975年01月号,1,表紙
bit 1975年01月号,5,目次
bit 1975年01月号,7,専門学術書の危機……一松信
bit 1975年01月号,8,LISP入門⑬ Backtrack法とLisp――N-Queensの問題を例にとり，Backtrack法について考えてみる……後藤英一
bit 1975年01月号,14,悪ふざけ……筒井敬介
bit 1975年01月号,15,グラフィックスのためのデザイン(4) プログラム開発のための一般的技法……中原陽一，渡辺寛，篠田博水
bit 1975年01月号,27,新連載 ミニコンのシステム・プログラム① 文字の入出力(1)――気軽に読んでシステム・プログラムはどんなものかを悟って下さい……島内剛一
bit 1975年01月号,34,グラフィック・ディスプレイによる原子炉炉心の地震シミュレーション解析……幾島毅，中村康弘，小沼吉男
bit 1975年01月号,46,ナノピコ教室……十代田三知男
bit 1975年01月号,47,数値計算のフィロソフィー⑪ 楕円型の世界――前回話したことが，“最終的にはどうなるか?”ということを調べてみる……戸川隼人
bit 1975年01月号,53,大気汚染解析モデルの開発(2) 複合型モデルとは……大瀬貴宏，常岡正義，田尾陽一，山下浩
bit 1975年01月号,63,65日間日本一周最長片道切符……平野照比古
bit 1975年01月号,69,擬似ランダム系列(3)……中村勝洋，佐藤創
bit 1975年01月号,78,アレフ・ゼロ
bit 1975年01月号,81,計算機莫迦話 おれはオバケだぞ!――マニュアルこわい……N.H.K.
bit 1975年01月号,86,ナノピコ教室解答(10月号)……駒木悠二
bit 1975年01月号,88,マイクロプログラミング⑫ マイクロプログラミングの記述と生成――マイクロプログラムを書くためのアセンブラやコンパイラについて述べる……宇都宮公訓
bit 1975年01月号,98,ぶっくす
bit 1975年02月号,1,表紙
bit 1975年02月号,5,目次
bit 1975年02月号,7,小さな親切大きなお世話……岩村聯
bit 1975年02月号,8,LISP入門(完) Lispの入出力プログラム――入出力プログラムの部分に使用されるアルゴリズムとその問題点の解説……後藤英一
bit 1975年02月号,15,大気汚染解析モデルの開発(3)――結果とその解析……大瀬貴宏，常岡正義，田尾陽一，山下浩
bit 1975年02月号,23,ミニコンのシステム・プログラム② 文字の入出力(2)――SPHの命令や文字コードを復習しながら文字の入出力ルーチンを完成する……島内剛一
bit 1975年02月号,28,擬似ランダム系列(4)……佐藤創，中村勝洋
bit 1975年02月号,38,コンピューターの声……下重暁子
bit 1975年02月号,41,計算機莫迦話 26人のBAKAたち……N.H.K.
bit 1975年02月号,50,ナノピコ教室……清水留三郎
bit 1975年02月号,51,数値計算のフィロソフィー(完) 双曲型の世界――近似モデルの作り方には物理的近似と数学的近似があります……戸川隼人
bit 1975年02月号,61,アレフ・ゼロ
bit 1975年02月号,62,マイクロプログラミング⑬ ダイナミック・マイクロプログラミング――マイクロプログラムを動的に書き換える計算機とその応用を解説する……宇都宮公訓
bit 1975年02月号,72,シンガポールで計算機教育を行なって(1)――ある海外技術協力……高澤嘉光
bit 1975年02月号,78,ナノピコ教室解答(11月号)……中西正和
bit 1975年02月号,80,記憶とアドレス(1)……小谷津孝明
bit 1975年02月号,86,ぶっくす
bit 1975年03月号,1,表紙
bit 1975年03月号,5,目次
bit 1975年03月号,7,言葉と定義……穂坂衛
bit 1975年03月号,8,新連載 ミニコンをつくる① ミニコンの機能――まずミニコンの内部の動きを考えてみる……中川圭介
bit 1975年03月号,14,シンガポールで計算機教育を行なって(2) ある海外技術協力……高澤嘉光
bit 1975年03月号,23,マイクロプログラミング(完) マイクロプログラミングの課題と展望――マイクロプログラミングによって計算機は将来どのように変わるだろうか……宇都宮公訓
bit 1975年03月号,30,ああ視聴率!……窪田篤人
bit 1975年03月号,31,擬似ランダム系列(5)……中村勝洋，佐藤創
bit 1975年03月号,41,オペレーティング・システムの理論① ストレージ・コントロール(1)――OSは巨大な化け物になってしまったという。しかしその統一理論は………室信治
bit 1975年03月号,49,記憶とアドレス(2)……小谷津孝明
bit 1975年03月号,56,ナノピコ教室……有澤誠
bit 1975年03月号,61,ミニコンのシステム・プログラム③ 入出力制御(1)――PTRを例にとり入出力機構などについて考えてみよう……島内剛一
bit 1975年03月号,66,ナノピコ教室解答(12月号)……牛島和夫
bit 1975年03月号,70,アレフ・ゼロ
bit 1975年03月号,71,計算機莫迦話 過ちは人の常……N.H.K.
bit 1975年03月号,79,LISPコンテスト……中西正和
bit 1975年03月号,85,ライフ・ゲーム……藤崎哲之助
bit 1975年03月号,93,アメリカ短信……国井利泰
bit 1975年03月号,94,ぶっくす
bit 1975年04月号,1,表紙
bit 1975年04月号,5,目次
bit 1975年04月号,7,治にいて乱を忘れず……本多波雄
bit 1975年04月号,8,ミニコンをつくる② 演算回路――ミニコンの動く原理はなにか?―それはいろいろな電子回路のおかげ……中川圭介
bit 1975年04月号,14,シンガポールで計算機教育を行なって(3) ある海外技術協力……高澤嘉光
bit 1975年04月号,23,ミニコンのシステム・プログラム④ 入出力制御(2)――紙テープせん孔機とデータ・タイプライタによる入出力はどのようにやるか……島内剛一
bit 1975年04月号,28,コンピュータ期待はずれ物語 コンピュータで成功した技術は……石田晴久
bit 1975年04月号,30,FORTRAN談議(1)……阿部圭一
bit 1975年04月号,38,時代おくれ……外山滋比古
bit 1975年04月号,41,擬似ランダム系列(6)……佐藤創，中村勝洋
bit 1975年04月号,50,連珠プログラムと対抗戦……真野芳久
bit 1975年04月号,56,アメリカ短信……国井利泰
bit 1975年04月号,57,オペレーティング・システムの理論②　ストレージ・コントロール(2)――ページ方式のアルゴリズム，またその最適の置換えアルゴリズムは?……室信治
bit 1975年04月号,64,バックギャモン(盤すごろく)……駒木悠二
bit 1975年04月号,68,計算機莫迦話 有限のなかの無限……N.H.K.
bit 1975年04月号,75,ナノピコ教室……一松信
bit 1975年04月号,76,ナノピコ教室解答(12月号)……牛島和夫
bit 1975年04月号,80,記憶とアドレス(3)……小谷津孝明
bit 1975年04月号,89,アレフ・ゼロ
bit 1975年04月号,90,ぶっくす
bit 1975年05月号,1,表紙
bit 1975年05月号,5,目次
bit 1975年05月号,7,数学における約束とその理由……矢野健太郎
bit 1975年05月号,8,特集 GO TO論争……木村泉
bit 1975年05月号,42,ナノピコ教室……金山裕
bit 1975年05月号,43,読んでわかるプログラム流れ図① 生活のなかの流れ図(1)――本や講義だけではわからないという流れ図を読んで理解してもらいます……吉田敬一
bit 1975年05月号,52,ナノピコ教室解答(2月号)……清水留三郎
bit 1975年05月号,59,蜘蛛の手……黒井千次
bit 1975年05月号,60,ミニコンのシステム・プログラム⑤ ローダとダンプ(1)――初めての方にも理解できるようおもな機能をまとめて先へすすみます……島内剛一
bit 1975年05月号,67,ミニコンをつくる③ 記憶回路――基本回路としてのフリップフロップの性質，これを使ったレジスタは?……中川圭介
bit 1975年05月号,74,アメリカ短信……国井利泰
bit 1975年05月号,77,単語帖
bit 1975年05月号,78,コンピュータ期待はずれ物語 エサキ・ダイオードも消えた……石田晴久
bit 1975年05月号,80,最近の話題から バスアーキテクチャ
